name,ph_seq,ph_dur,ph_num,note_seq,note_dur,note_slur
Another_Life1_seg000,SP d ow n w aa n ax t eh l y ae SP,0.2604167 0.0620323 0.0973427 0.0197916 0.0395834 0.08125 0.059375 0.0802083 0.1231293 0.3356008 0.1292517 0.1088436 0.2229663 0.1960813,1 1 3 2 2 3 1 1,rest G3-45 G3-42 G3-39 G3-36 C4-1 D4-8 rest,0.260 0.062 0.157 0.141 0.203 0.574 0.223 0.196,0 0 0 0 0 0 0 0
Another_Life1_seg001,SP ax b aw ax l ay f ay l n eh v er n ow SP,0.1960813 0.0737102 0.05 0.1597366 0.0580498 0.0807256 0.2223216 0.0887896 0.131002 0.055846 0.1035288 0.1208336 0.06498 0.1048112 0.2244404 0.6745184 0.3104168,1 1 1 1 2 2 3 2 2 1 1,rest G#3+43 G#3+16 G#3+48 F3+12 D4+6 C4+47 B3+6 B3-45 G3-40 rest,0.196 0.074 0.050 0.160 0.139 0.311 0.290 0.186 0.329 0.675 0.310,0 0 0 0 0 0 0 0 0 0 0
Another_Life1_seg002,SP AP d ow n w aa n ax t eh l y ae AP ax b aw t ax m uw v ih ng p ih k ch er sh ow dh ae t s ih n m ay m ay n ao l b l ae k ae n d w ay t SP,0.3104168 0.4406248 0.0895832 0.0906248 0.019792 0.0456416 0.07415 0.04059 0.0789108 0.1433112 0.318438 0.1192036 0.0995464 0.2291672 0.226842 0.0439908 0.0621312 0.0680776 0.0395828 0.043814 0.1410424 0.2255608 0.084644 0.0747312 0.1499992 0.0582624 0.0927792 0.0791664 0.0765808 0.064044 0.139584 0.4 0.0395832 0.0802088 0.1395832 0.069792 0.0614576 0.1093752 0.119792 0.1 0.0756728 0.4045352 0.069792 0.1424528 0.048172 0.0895832 0.0395832 0.111552 0.0943296 0.075368 0.1291672 0.0593752 0.05 0.2406248 0.069792 0.280208,1 1 1 3 2 2 3 1 1 2 2 2 2 3 3 2 2 3 3 2 2 4 2 4 2 1,rest rest F#3+15 F#3+11 G3-44 G3-40 C4-2 D4-11 rest F3+48 F#3+9 F#3+7 C#4+36 B3-8 C#4+36 A#3+49 G3-46 F#3+37 G3-41 B3-38 C4+6 C4-6 C#4-7 A#3+47 C4-34 rest,0.310 0.441 0.090 0.156 0.115 0.222 0.537 0.229 0.227 0.106 0.108 0.185 0.310 0.283 0.249 0.204 0.440 0.290 0.291 0.176 0.474 0.320 0.206 0.314 0.310 0.280,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Another_Life1_seg003,SP sh ay k s y ao s ow ae n m ey k s y uw k r ay AP SP,0.280208 0.1376416 0.143608 0.0709032 0.0698424 0.0244888 0.0430992 0.139584 0.3708328 0.2010416 0.0395832 0.0593752 0.1395832 0.039584 0.0729848 0.0426328 0.085424 0.1093744 0.05 0.289584 0.3672056 0.2536272,1 1 4 2 1 3 4 3 1 1 1,rest G4-49 G4+9 A#3+39 C#4-16 C4-1 C4+1 B3+12 G3-6 rest rest,0.280 0.138 0.309 0.183 0.371 0.300 0.295 0.245 0.290 0.367 0.254,0 0 0 0 0 0 0 0 0 0 0
Another_Life1_seg004,SP w iy hh ae d ih t SP,0.2536272 0.05 0.0802096 0.1231904 0.1559744 0.019792 0.1312512 0.0895824 0.1027216,1 1 2 2 2 1,rest F3-16 F3-12 B3-16 B3+49 rest,0.254 0.050 0.203 0.176 0.221 0.103,0 0 0 0 0 0
Another_Life1_seg005,SP ao l SP,0.1027216 0.9523808 0.2448976 0.279168,1 1 1 1,rest C4+37 D4+6 D#4-44 rest,0.103 0.717 0.235 0.245 0.279,0 0 1 0 0
Another_Life1_seg006,SP AP b ah t l eh t ih t d ay AP m ey b iy ih t s ax n ah dh er t aa aa SP,0.279168 0.2623296 0.0476176 0.1882096 0.0117904 0.0900512 0.180208 0.019792 0.112216 0.067992 0.114208 1.0264176 0.3802096 0.0510816 0.3082928 0.0536128 0.3068032 0.1302096 0.0895808 0.0757872 0.0742128 0.2118432 0.2777408 0.05 0.1406256 0.15 0.5197904 1.059376 0.085912,1 1 1 3 2 3 1 2 2 1 3 2 2 2 1 1 1,rest rest F#3+7 F#3+6 D4-4 D#4+34 D4-44 D#4+11 D4-7 rest A4+49 A4+2 G4+41 F4+3 E4+42 G4+0 F#4-39 E4-36 F4-38 G4-5 rest,0.279 0.262 0.048 0.290 0.200 0.294 0.176 0.450 0.400 0.431 0.362 0.307 0.296 0.286 0.158 0.169 0.291 0.240 0.280 1.059 0.086,0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0
Another_Life1_seg007,SP ay m AP m ey b iy ih t s ax n ah dh er d ey AP m ey b iy ih t s ax n ah dh er l ah SP,0.085912 1.2484112 0.1656768 0.4302064 0.0617152 0.289328 0.0459344 0.233232 0.1416672 0.0791664 0.0992224 0.0809888 0.1882832 0.2815056 0.0593744 0.1302096 0.1592992 2.8907008 0.410416 0.0650944 0.2849056 0.0387904 0.2705856 0.131248 0.089584 0.079168 0.060416 0.2357792 0.2735936 0.0438656 0.1665504 0.1543104 1.3154848 0.0824768,1 1 1 2 2 1 3 2 2 2 1 2 2 1 3 2 2 2 1 1,rest C4+14 D4+42 A#3-49 C#4-43 D#4-13 D4+45 rest A4-44 B4-15 A4+46 G#4-34 F4+45 F4-7 F#4+38 F4-16 F4+43 A4-47 G4+35 A4+7 A#4-10 rest A#4-3 A4+1 G#4-50 F4+35 F4-39 F#4+49 F4+11 F4-40 G4-1 rest,0.086 0.164 0.160 0.120 0.510 0.294 0.166 0.492 0.188 0.147 0.233 0.320 0.269 0.180 0.161 0.290 0.310 0.180 1.090 0.280 1.031 0.476 0.324 0.271 0.300 0.296 0.163 0.154 0.321 0.235 1.081 0.082,0 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 1 0
Another_Life1_seg008,SP ah ay f ao r y uw SP,0.0824768 1.11224 1.2176928 0.3129248 0.1850816 0.1 0.119792 1.2895808 0.1697952,1 1 1 1 3 1 1,rest A4+41 B4-48 F4+3 rest F4-36 D#4+0 rest,0.082 0.368 0.745 1.218 0.313 0.405 1.290 0.170,0 0 1 0 0 0 0 0
Another_Life1_seg010,SP ae n m iy SP,0.1684288 0.080208 0.119792 0.1077536 2.334816 0.6040768,1 1 2 1 1,rest D4+1 D4+8 D#4-13 F4-37 D#4-4 C#4-13 B3-14 rest,0.168 0.080 0.228 0.194 0.140 0.790 0.820 0.391 0.604,0 0 0 0 1 1 1 1 0
