name,ph_seq,ph_dur
Another_Life_seg000,SP d ow n w aa n ax t eh l y ax SP,0.8302084 0.048363 0.0714286 0.0197916 0.0523172 0.0580995 0.0476828 0.0744899 0.1336734 0.1411565 0.2925807 0.1026574 0.186926 0.2933462
Another_Life_seg001,SP ax b aw ax l ay f ay l n eh v er n ow SP,0.2933462 0.0879038 0.064477 0.104273 0.090625 0.1163264 0.213882 0.0759142 0.1240854 0.0470028 0.0925812 0.0951736 0.0734696 0.1115648 0.2146256 0.6125856 0.9727888
Another_Life_seg002,SP d ow n w aa n ax t eh l y aa SP,0.9727888 0.0622448 0.0656464 0.0325248 0.05387 0.0540812 0.0503404 0.0697284 0.1292516 0.2210876 0.2142864 0.12585 0.1908796 0.219792
Another_Life_seg003,SP ax b aw dx ax m uw v ih ng p ih k ch er sh ow dh ae t s ih n m ay m ay n ao l b l ae k ax n d w ay t AP sh ey k s y er s ow l ae n m ey k s y uw k r ay SP,0.219792 0.0708336 0.0538696 0.0727872 0.0295928 0.0427088 0.12906 0.2011488 0.0697912 0.0804208 0.1206208 0.0841416 0.0658584 0.069792 0.0697912 0.0604168 0.1372024 0.39864 0.0394544 0.1351192 0.0593752 0.0864592 0.0734696 0.0796552 0.0968752 0.0887736 0.0826552 0.4561216 0.0651576 0.1614576 0.0291672 0.1 0.05 0.1 0.1010208 0.069812 0.139584 0.0395832 0.0727888 0.2563784 0.05 0.2906248 0.1197912 0.1706208 0.0455768 0.0527232 0.0163264 0.0449616 0.1717048 0.2533992 0.074492 0.171236 0.069792 0.067476 0.102316 0.0691112 0.0571432 0.0204088 0.0748288 0.1087168 0.0895832 0.45 0.0598624
Another_Life_seg005,SP w iy hh ae d ih t SP,0.0721728 0.0237456 0.0366704 0.1093744 0.1406256 0.0291664 0.1208336 0.039584 0.1098
Another_Life_seg006,SP ow l SP,0.1098 1.1227888 0.2267872 0.1999984
Another_Life_seg008,SP b ah t l ay dx ih t d ay SP,0.1265296 0.0268704 0.0901376 0.017688 0.1523776 0.137416 0.0401376 0.1023808 0.05 0.1149648 1.1048256 0.05708
Another_Life_seg010,SP m ey b iy ih t s ax n ah dh er t ay m SP,0.0785696 0.0591856 0.2902864 0.0484896 0.2725632 0.128944 0.0593776 0.1166656 0.088096 0.19932 0.2959184 0.0431968 0.1370128 0.116048 3.030952 0.1321648 0.4208352
Another_Life_seg011,SP m ey b iy ih t s ax n ah dh er d ey SP,0.4208352 0.0436 0.2657728 0.0519136 0.291384 0.1483696 0.059376 0.086584 0.093624 0.1869888 0.2921792 0.0544224 0.1469376 0.1382224 1.430208 0.1221568
Another_Life_seg012,SP ey AP SP,0.1221568 1.437216 0.3297952 0.180624
Another_Life_seg013,SP m ey b iy ih t s ax n ah dh er l ay f ao r y uw SP,0.180624 0.0654048 0.2752192 0.0666176 0.2426304 0.140752 0.0697888 0.0921792 0.0945568 0.1826528 0.2910272 0.0474112 0.1328 0.1416896 4.0676864 0.2156448 0.224832 0.0595232 0.159376 1.590624 0.5125856
Another_Life_seg014,SP ae n m iy SP,0.5125856 0.0478336 0.2 0.0388992 1.8687072 0.4944736
