name,ph_seq,ph_dur
Call_Me_Maybe_seg000,SP ay th r uw ax w ih sh ih n dh ax w eh l SP,0.759375 0.1208333 0.15 0.0633292 0.1541949 0.1950114 0.0572562 0.1 0.1697916 0.0895834 0.1197918 0.053146 0.1874788 0.0593752 0.1010416 0.1093748 0.2708336
Call_Me_Maybe_seg001,SP d ow n ae s m iy ay l n eh v er t eh l SP,0.2708336 0.0593748 0.1406252 0.0791664 0.1406252 0.0791664 0.0801942 0.2000142 0.1327524 0.0682896 0.0626628 0.1873368 0.0593752 0.0697916 0.1993692 0.1402144 0.1 0.6577456
Call_Me_Maybe_seg002,SP ay l uh k t uw y uw ae z ih t f eh l SP,0.6577456 0.143296 0.0791668 0.05 0.0697916 0.156612 0.2193868 0.0844176 0.1895836 0.1908512 0.0799324 0.0698412 0.0697916 0.1222716 0.1371032 0.1 0.3031472
Call_Me_Maybe_seg003,SP ae n aw y uh r ih n m ay w ey SP,0.3031472 0.0572704 0.1598488 0.2203584 0.07386 0.1063496 0.0791656 0.1406248 0.119792 0.139584 0.3312496 0.0593752 0.2381448 0.3712304
Call_Me_Maybe_seg004,SP ay tr ey d m ay s ow l f ao r ax w ih sh AP p eh n iy z ae n d ay m z f ao r ax k ih s AP ay w aa z ax n l uh k ih n f ao r dh ih s AP b ah n aw y uh r ih n m ay w ey AP y ao r s d eh r w aa z hh ow l d ih ng SP,0.3712304 0.1 0.1906248 0.1406248 0.05 0.0313072 0.1582752 0.1240368 0.106172 0.0593752 0.1127976 0.1872024 0.1 0.180208 0.0654696 0.1043224 0.139584 0.230208 0.019792 0.110416 0.119792 0.2 0.069792 0.0812496 0.1593752 0.0197912 0.2208336 0.0514872 0.057888 0.0776008 0.0723992 0.0395832 0.1406248 0.1791672 0.1906248 0.0895832 0.3248648 0.194928 0.0499984 0.1708336 0.0593744 0.1010432 0.0791648 0.069792 0.1 0.1406256 0.0708336 0.139584 0.0709888 0.1488016 0.0593744 0.05 0.1505536 0.0796544 0.3000016 0.0330432 0.0773728 0.1295424 0.240248 0.0658752 0.0737088 0.1000016 0.110416 0.1697904 0.1197936 0.310416 0.0750576 0.3249424 0.410416 0.0509216 0.130328 0.089584 0.1291664 0.0879968 0.1724192 0.079168 0.039584 0.0395824 0.1 0.05 0.1666384 0.0239856 0.039584 0.0486752 0.0919504 0.2
Call_Me_Maybe_seg005,SP r ih p t jh iy n z s g ih n w aa z sh ow ih ng SP,0.2 0.039584 0.0906256 0.0791648 0.1708352 0.1027824 0.1878432 0.0944704 0.055528 0.069792 0.0791648 0.1406256 0.05 0.039584 0.1 0.1 0.0697904 0.189584 0.066816 0.083184 0.1843888
Call_Me_Maybe_seg006,SP hh aa t n ay t w ih n w aa z b l ow ih ng AP w eh r y uw th ih ng k y uh aa r g ow ih n b ey b iy AP hh ey SP,0.1843888 0.0425184 0.1730912 0.0500016 0.2893792 0.210624 0.0999968 0.1802096 0.15 0.05 0.0395824 0.0416672 0.0791664 0.0802064 0.044168 0.135 0.0498096 0.0606064 0.2708352 0.0291648 0.1114592 0.0791664 0.0593744 0.1208352 0.1291648 0.1010432 0.069792 0.0197904 0.039584 0.0905888 0.1000384 0.0499984 0.0755888 0.2324256 0.1315696 0.1 0.071832 0.2479584 0.0197904 0.2791888 0.4208112 0.1001648 0.2998352 0.1712512
Call_Me_Maybe_seg007,SP ay jh ah s t m eh t y uw SP,0.1712512 0.1693744 0.059376 0.0614592 0.0791648 0.019792 0.059376 0.1019136 0.2584992 0.0395872 0.4 0.1199392
Call_Me_Maybe_seg009,SP ax n dh ih s k r ey z iy SP,0.1088448 0.0509568 0.15 0.029168 0.140624 0.15 0.139584 0.03808 0.242128 0.0764672 0.4829056 0.1163008
Call_Me_Maybe_seg011,SP b ah t hh ih r z m ay n ah m b er SP,0.0805152 0.0623424 0.1491136 0.0291712 0.09496 0.1258688 0.029168 0.05 0.069792 0.1697888 0.0633184 0.1471008 0.0796576 0.0459168 0.3338016 0.1895808
