name,ph_seq,ph_dur,ph_num,note_seq,note_dur,note_slur
Call_Me_Maybe_seg000,SP ay th r uw ax w ih sh ih n dh ax w eh l SP,0.759375 0.1208333 0.15 0.0633292 0.1541949 0.1950114 0.0572562 0.1 0.1697916 0.0895834 0.1197918 0.053146 0.1874788 0.0593752 0.1010416 0.1093748 0.2708336,1 1 2 1 2 2 3 2 2 1,rest B3-8 C#4-2 B3+39 B3-5 B3+13 B3+41 A3+8 B3+16 rest,0.759 0.121 0.213 0.154 0.252 0.270 0.263 0.247 0.210 0.271,0 0 0 0 0 0 0 0 0 0
Call_Me_Maybe_seg001,SP d ow n ae s m iy ay l n eh v er t eh l SP,0.2708336 0.0593748 0.1406252 0.0791664 0.1406252 0.0791664 0.0801942 0.2000142 0.1327524 0.0682896 0.0626628 0.1873368 0.0593752 0.0697916 0.1993692 0.1402144 0.1 0.6577456,1 1 2 3 1 3 2 2 2 1,rest G#3+7 B3+3 B3+12 C#4-37 B3+49 B3+13 B3+2 A3-1 B3-13 rest,0.271 0.059 0.220 0.210 0.090 0.200 0.264 0.247 0.269 0.240 0.658,0 0 0 0 1 0 0 0 0 0 0
Call_Me_Maybe_seg002,SP ay l uh k t uw y uw ae z ih t f eh l SP,0.6577456 0.143296 0.0791668 0.05 0.0697916 0.156612 0.2193868 0.0844176 0.1895836 0.1908512 0.0799324 0.0698412 0.0697916 0.1222716 0.1371032 0.1 0.3031472,1 1 1 3 2 1 2 3 2 1,rest B3+0 B3-11 C4-46 C4+1 B3+3 B3+3 A3-49 A3-44 G#3+43 rest,0.658 0.143 0.079 0.276 0.304 0.190 0.271 0.069 0.193 0.237 0.303,0 0 0 0 0 0 0 0 1 0 0
Call_Me_Maybe_seg003,SP ae n aw y uh r ih n m ay w ey SP,0.3031472 0.0572704 0.1598488 0.2203584 0.07386 0.1063496 0.0791656 0.1406248 0.119792 0.139584 0.3312496 0.0593752 0.2381448 0.3712304,1 1 1 2 2 3 2 1 1,rest A#3+16 A#3-13 A3+9 G#3-47 F#3+46 D4-42 B3-18 rest,0.303 0.057 0.160 0.294 0.186 0.400 0.391 0.238 0.371,0 0 0 0 0 0 0 0 0
Call_Me_Maybe_seg004,SP ay tr ey d m ay s ow l f ao r ax w ih sh AP p eh n iy z ae n d ay m z f ao r ax k ih s AP ay w aa z ax n l uh k ih n f ao r dh ih s AP b ah n aw y uh r ih n m ay w ey AP y ao r s d eh r w aa z hh ow l d ih ng SP,0.3712304 0.1 0.1906248 0.1406248 0.05 0.0313072 0.1582752 0.1240368 0.106172 0.0593752 0.1127976 0.1872024 0.1 0.180208 0.0654696 0.1043224 0.139584 0.230208 0.019792 0.110416 0.119792 0.2 0.069792 0.0812496 0.1593752 0.0197912 0.2208336 0.0514872 0.057888 0.0776008 0.0723992 0.0395832 0.1406248 0.1791672 0.1906248 0.0895832 0.3248648 0.194928 0.0499984 0.1708336 0.0593744 0.1010432 0.0791648 0.069792 0.1 0.1406256 0.0708336 0.139584 0.0709888 0.1488016 0.0593744 0.05 0.1505536 0.0796544 0.3000016 0.0330432 0.0773728 0.1295424 0.240248 0.0658752 0.0737088 0.1000016 0.110416 0.1697904 0.1197936 0.310416 0.0750576 0.3249424 0.410416 0.0509216 0.130328 0.089584 0.1291664 0.0879968 0.1724192 0.079168 0.039584 0.0395824 0.1 0.05 0.1666384 0.0239856 0.039584 0.0486752 0.0919504 0.2,1 1 1 3 2 3 2 2 2 2 2 2 3 4 2 2 2 1 2 2 3 2 3 3 2 2 2 2 2 3 2 1 2 4 3 3 3 2 1,rest A#3+50 B3-37 B3+3 B3-9 B3+14 B3-3 A3+10 C4-3 rest B3-8 B3+35 B3+13 B3+10 B3+8 A3+41 B3+40 rest B3-10 B3+35 B3+36 B3+44 B3-33 A3+2 A3+6 rest A3+11 A#3-9 G3-7 G3+38 D#4+32 C4-41 rest D#4-39 D#4+6 A3-10 A3+9 G#3-36 rest,0.371 0.100 0.191 0.222 0.282 0.278 0.287 0.246 0.244 0.250 0.230 0.270 0.260 0.408 0.112 0.320 0.280 0.325 0.245 0.230 0.250 0.241 0.281 0.258 0.230 0.333 0.207 0.306 0.174 0.400 0.385 0.325 0.461 0.437 0.291 0.190 0.230 0.141 0.200,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Call_Me_Maybe_seg005,SP r ih p t jh iy n z s g ih n w aa z sh ow ih ng SP,0.2 0.039584 0.0906256 0.0791648 0.1708352 0.1027824 0.1878432 0.0944704 0.055528 0.069792 0.0791648 0.1406256 0.05 0.039584 0.1 0.1 0.0697904 0.189584 0.066816 0.083184 0.1843888,1 1 4 5 3 3 1 2 1,rest D#4-47 D#4-48 rest D4+40 D4+6 A#3-42 A3+16 G#3-18 rest,0.200 0.040 0.110 0.333 0.487 0.230 0.270 0.190 0.150 0.184,0 0 0 1 0 0 0 0 0 0
Call_Me_Maybe_seg006,SP hh aa t n ay t w ih n w aa z b l ow ih ng AP w eh r y uw th ih ng k y uh aa r g ow ih n b ey b iy AP hh ey SP,0.1843888 0.0425184 0.1730912 0.0500016 0.2893792 0.210624 0.0999968 0.1802096 0.15 0.05 0.0395824 0.0416672 0.0791664 0.0802064 0.044168 0.135 0.0498096 0.0606064 0.2708352 0.0291648 0.1114592 0.0791664 0.0593744 0.1208352 0.1291648 0.1010432 0.069792 0.0197904 0.039584 0.0905888 0.1000384 0.0499984 0.0755888 0.2324256 0.1315696 0.1 0.071832 0.2479584 0.0197904 0.2791888 0.4208112 0.1001648 0.2998352 0.1712512,1 1 3 3 3 4 1 2 2 3 2 4 1 3 1 3 2 1 2 1 1,rest D4-38 D4-10 rest D4+49 rest D#4-2 B3+19 A3-34 G#3-42 rest G4-3 G4+38 G#4-15 G4+0 G4-3 G4+12 G4+10 A4+17 C5-38 rest E4-1 G4-10 rest,0.184 0.043 0.203 0.309 0.241 0.250 0.240 0.245 0.135 0.110 0.300 0.250 0.250 0.230 0.091 0.226 0.232 0.303 0.268 0.279 0.521 0.159 0.140 0.171,0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
Call_Me_Maybe_seg007,SP ay jh ah s t m eh t y uw SP,0.1712512 0.1693744 0.059376 0.0614592 0.0791648 0.019792 0.059376 0.1019136 0.2584992 0.0395872 0.4 0.1199392,1 1 1 4 3 1 1,rest B3-10 rest E4+1 G4-3 rest E4+43 D4+35 rest,0.171 0.169 0.059 0.220 0.120 0.280 0.230 0.170 0.120,0 0 0 0 0 1 0 1 0
Call_Me_Maybe_seg009,SP ax n dh ih s k r ey z iy SP,0.1088448 0.0509568 0.15 0.029168 0.140624 0.15 0.139584 0.03808 0.242128 0.0764672 0.4829056 0.1163008,1 1 2 4 2 1 1,rest A#3-10 B3-12 A#3-48 rest C5-38 G#4-45 rest,0.109 0.051 0.179 0.301 0.167 0.319 0.483 0.116,0 0 0 0 1 0 0 0
Call_Me_Maybe_seg011,SP b ah t hh ih r z m ay n ah m b er SP,0.0805152 0.0623424 0.1491136 0.0291712 0.09496 0.1258688 0.029168 0.05 0.069792 0.1697888 0.0633184 0.1471008 0.0796576 0.0459168 0.3338016 0.1895808,1 1 3 4 2 3 1 1,rest F#4+50 G4-4 C5+0 C5-9 C#5+6 A#4+2 C5+7 G4+9 rest,0.081 0.062 0.273 0.194 0.081 0.233 0.136 0.137 0.334 0.190,0 0 0 0 1 0 0 1 0 0
